title,date,text
No dia em que Lula foi preso,29/05/2023,Parecia impossível ser a história totalmente reescrita para surgir uma nova narrativa e o passado apagado.
O assunto Dallagnol não pode morrer,22/05/2023,"Existem assuntos que quando ""morrem"" levam consigo bens imateriais de muita valia para uma sociedade que tenha apreço por si mesma."
"Jabotis, enroladinhos e a obrigação de conhecer as leis...",15/05/2023,"Num país onde congressistas votam sem saber o que estão votando contra a sociedade, a sociedade não pode alegar desconhecimento das leis que eles votaram sem conhecer... Estão de brincadeira."
O que nos ensina a monarquia britânica,08/05/2023,A coroação do rei Charles III e a  história daquela monarquia é uma excelente ocasião para pensarmos sobre  o que brasileiros estão fazendo no Brasil.
"O que foi, mesmo, que eles não entenderam?",01/05/2023,"O preceito constitucional sobre liberdade de expressão é cláusula pétrea! Criaram um calhamaço jurídico para dizer que estão tratando de outra coisa, mas o nome da coisa inteira é CENSURA."
"Agora, o governo quer muito a CPMI",24/04/2023,"Como o inquérito dessorou, o governo, agora, quer a CPMI para si, para chamar de sua."
A sufocante poluição partidária brasileira,17/04/2023,"Devemos ao STF a expansão do número de partidos políticos no Brasil, gerando uma confusão de siglas transformadas em meros instrumentos cartoriais e negociais, desprovidos de identidade."
"Militares, policiais, religiosos e as urnas",10/04/2023,"Atividades com crescente presença na representação popular nos parlamentos revelam o desejo de resistir à impunidade, ao desmonte da segurança pública e do patrimônio moral e espiritual da sociedade."
Papa Francisco pisou na bola,03/04/2023,"Caiu na narrativa da esquerda que se tem por progressista e falou bobagem. Mas opinião é opinião e deve ser entendida como tal. No meu caso, entra por um ouvido e sai pelo outro."
O futuro de nossa liberdade,27/03/2023,Nossa liberdade está sob ataque. Para recuperá-la e preservá-la precisamos entender como isso está agindo em nós.
"Ter poder, ou ser possuído pelo poder",12/03/2023,Existem questões relacionadas aos acontecimentos do dia 8 de janeiro que só uma CPMI pode esclarecer.
Respostas certas a certas perguntas,05/03/2023,"Obter as respostas certas a essas perguntas, longe das interpretações subjetivas e narrativas de laboratório, se tornou essencial à nossa democracia"
